codigo,quesito,tipo,unidade
V4044,Código da principal atividade desse negócio/empresa,código,"Ver ""Composição dos Grupamentos de Atividade"" e “Relação de Códigos de Atividades” da CNAE-Domiciliar"
V4045,Esse trabalho era na área,1,Federal
V4046,Esse negócio/empresa era registrado no Cadastro Nacional da Pessoa Jurídica - CNPJ?,1,Sim
V4047,"Nesse trabalho secundário era funcionário público estatutário (federal, estadual ou municipal)?",1,Sim
V4048,Nesse trabalho secundário tinha carteira de trabalho assinada?,1,Sim
V4049,Era contribuinte de instituto de previdência por esse trabalho secundário?,1,Sim
V4050,Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse trabalho secundário? (variável auxiliar),1,Indica se o quesito foi respondido
V40501,Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada em dinheiro,1,Em dinheiro
V405011,Número da faixa do rendimento/retirada em dinheiro,1,"1 a [0,5SM]"
V405012,Valor em dinheiro do rendimento mensal que recebia normalmente nesse trabalho secundário,valor em reais,R$
V40502,Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada em produtos e mercadorias,2,Em produtos ou mercadorias
V405021,Número da faixa do rendimento/retirada em produtos e mercadorias,1,"1 a [0,5SM]"
V405022,Valor estimado dos produtos e mercadorias que recebia normalmente nesse trabalho secundário,valor em reais,R$
V40503,Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada somente em benefícios,3,Em benefícios
V405031,Tipo de rendimento/retirada  em benefícios que recebia/fazia nesse trabalho secundário,1,"Pessoa recebendo somente em beneficios, exceto aprendizado"
V4051,"Qual foi o rendimento bruto que ... recebeu/fez  nesse trabalho secundário, no mês de referência? (variável auxiliar)",1,Indica se o quesito foi respondido
V40511,Recebeu/fez nesse trabalho secundário rendimento/retirada em dinheiro no mês de referência,1,Em dinheiro
V405111,Número da faixa do rendimento/retirada em dinheiro,0,0
V405112,Valor em dinheiro do rendimento mensal que recebeu nesse trabalho secundário no mês de referência,valor em reais,R$
V40512,"Recebeu/fez nesse trabalho secundário no mês de referencia, rendimento/retirada em produtos e mercadorias",2,Produtos ou mercadorias
V405121,Número da faixa do rendimento/retirada em produtos e mercadorias,0,0
V405122,Valor estimado dos produtos e mercadorias que recebia recebeu nesse trabalho secundário no mês de referência,valor em reais,R$
V4056,"Quantas horas ... trabalhava normalmente, por semana, nesse trabalho secundário?",001 a 120,Horas
V4056C,Quantas horas ... trabalhou efetivamente na semana de referência nesse trabalho secundário?,000 a 120,Horas
V4057,Era contribuinte de instituto de previdência por esse(s) outro(s) trabalho(s)?,1,Sim
V4058,Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse(s) outro(s) trabalho(s)? (variável auxiliar),1,Indica se o quesito foi respondido
V40581,Recebia/fazia normalmente nesse(s) outro(s) trabalho(s)  rendimento/retirada em dinheiro,1,Em dinheiro
V405811,Número da faixa do rendimento/retirada em dinheiro,1,"1 a [0,5SM]"
V405812,Valor em dinheiro do rendimento mensal que recebia normalmente nesse(s) outro(s) trabalho(s),valor em reais,R$
V40582,Recebia/fazia normalmente nesse(s) outro(s) trabalho(s)  rendimento/retirada em produtos e mercadorias,2,Em produtos ou mercadorias
V405821,Número da faixa do rendimento/retirada em produtos e mercadorias,1,"1 a [0,5SM]"
V405822,Valor estimado do produtos e mercadorias que recebia normalmente nesse(s) outro(s) trabalho(s),valor em reais,R$
V40583,Recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada somente em benefícios,3,Em benefícios
V405831,Tipo de rendimento/retirada  em benefícios que recebia/fazia nesse(s) outro(s) trabalho(s),1,"Pessoa recebendo somente em beneficios, exceto aprendizado"
V40584,Não remunerado nesse(s) outro(s) trabalho(s),4,Não remunerado
V4059,"Qual foi o rendimento bruto que ... recebeu/fez  nesse(s) outro(s) trabalho(s), no mês de referência? (variável auxiliar)",1,Indica se o quesito foi respondido
V40591,Recebeu/fez nesse(s) outro(s) trabalho(s) rendimento/retirada em dinheiro no mês de referência,1,Em dinheiro
V405911,Número da faixa do rendimento/retirada em dinheiro,0,0
